nombre;precio
Salsa pesto Carrefour bolsita 140 g.;1.39
Salsa carbonara Classic Carrefour sin gluten 300 g.;1.4
Tomate frito con aceite de oliva virgen extra Orlando pack de 3 briks de 350 g.;4.28
Pimentón dulce Carrefour Classic 45 g.;0.8
Aceite de oliva intenso 1º La Masía 1 l.;5.59
Harina de trigo especial repostería Original Carrefour 1 kg.;1.25
Ravioli carne al brasato Buitoni 230 g.;3.19
Salsa napolitana Carrefour sin gluten tarro 300 g.;1.4
Aceite de oliva suave 0,4º Carrefour garrafón 5 l.;4.59
Macarrones cocción rápida Carrefour 500 g.;0.87
Salsa brava Orlando sin gluten envase 290 g.;1.7
Salsa de yogur para ensaladas Classic Carrefour envase 300 g.;1.28
Pasta plumas nº 3 Gallo 450 g.;1.44
Aceite de oliva virgen extra arbequina Carrefour 1 l.;7.95
Aceite de oliva virgen Carbonell 1 l.;7.69
Arroz Nomen 1 kg.;1.99
Arroz largo La Cigala 1 kg.;2.15
Mayonesa sabor casero Calvé sin lactosa tarro 210 ml.;1.79
Tomate frito con aceite de oliva virgen extra Carrefour tarro 550 g.;2.05
Tomate frito estilo casero Solís sin gluten tarro 550 g.;2.49
Aceite de oliva virgen Carrefour garrafa 5 l.;4.98
Ravioli 4 quesos Buitoni 230 g.;3.19
Alubias cocidas con verduras Carrefour 400 g.;1.17
Espaguetis Garofalo 500 g.;1.81
Salsa barbacoa Hellmann's envase 285 g.;2.35
Ketchup sin azúcar añadido Cero Prima sin gluten envase 265 g.;2.55
Kétchup sin azúcar añadido Cero Prima sin gluten envase 510 g.;4.05
Salsa alioli Carrefour Classic' sin gluten sin lactosa 300 g.;1.93
Aceite de oliva virgen extra Carrefour 750 ml.;6.55
Pasta elicoidale Garofalo 500 g.;1.81
Aceite de oliva virgen extra Carrefour 500 ml.;3.99
Canela molida Classic Carrefour 40 g.;0.77
Salsa original Ligeresa sin lactosa frasco 210 ml.;1.69
Comino molido Carrefour 45 g.;0.93
Radiatori Garofalo 500 g.;1.81
Tomate frito ecológico Carrefour Bio sin gluten 300 g.;1.76
Aceite de oliva virgen extra hojiblanca Carbonell 1 l.;8.29
Judión cocido categoría extra Carrefour 400 g.;1.85
Salsa barbacoa Cero Prima sin gluten y sin azúcar añadido envase 265 g.;2.35
Aceite de girasol Koipe Sol 5 l.;1.97
Molinillo pimienta negra en grano Carrefour Classic 45 g.;1.4
Tomate frito Carrefour sin gluten pack de 2 tarros de 550 g.;1.46
Fideo instantáneo huevo Soubry 250 g.;1.91
Salsa pesto Gallo sin gluten tarro 190 g.;2.59
Arroz redondo para microondas Brillante pack de 2 unidades de 200 g.;2.35
Mostaza de Dijón Maille tarro 215 g.;4.05
Pasta farfalle al huevo Extra Carrefour 500 g.;1.25
Salsa picante Tabasco botella 60 ml.;4.19
Salsa ligera con aceite de girasol Carrefour tarro 450 ml.;1.08
Alubia roja categoría extra Luengo 400 g.;1.73
Alubia cocida al natural Carrefour 210 g.;0.65
Garbanza blanca cocida Don Pedro 400 g.;1.91
Garbanzo pedrosillano Classic Carrefour 1 kg.;1.89
Aceite de orujo de oliva 1 l.;4.19
Copos suaves de avena integral ecológicos EcoCesta sin azúcares añadidos 800 g.;3.55
Lenteja pardina categoría extra De Nuestra Tierra 1 kg.;3.59
