nombre;precio;volumen
Queso mezcla 4 quesos rallado Dia Láctea bolsa 200 g;1,96;(9,80 €/KILO)
Queso especial pasta en polvo Dia Láctea bolsa 150 g;1,34;(8,93 €/KILO)
Queso sándwich Dia Láctea sobre 160 g;1,25;(7,81 €/KILO)
Queso de cabra roqueforti Quesería del Mundo 150 g;2,99;(19,93 €/KILO)
Rulo de queso de cabra Dia Lactea 140 g;1,75;(12,50 €/KILO)
Queso semicurado El Cencerro de Dia Dia 250 g;2,75;(11,00 €/KILO)
Queso semicurado El Cencerro de Dia sobre 160 g;1,89;(11,81 €/KILO)
Queso tierno El Cencerro de Dia 200 g;1,89;(9,45 €/KILO)
Queso canario ahumado de cabra Quesería del Mundo 150 g;2,99;(19,93 €/KILO)
Queso de oveja con trufa blanca Quesería del Mundo 175 g;4,99;(28,51 €/KILO)
Queso Mozzarella en lonchas Selección Mundial de Dia sobre 160 g;1,48;(9,25 €/KILO)
Queso especial gratinar rallado Dia Láctea bolsa 200 g;1,45;(7,25 €/KILO)
Dados de queso especial ensalada Dia Láctea bolsa 100 g;1,39;(13,90 €/KILO)
Queso tierno de vaca El Cencerro de Dia 200 g;1,79;(8,95 €/KILO)
Queso havarti Selección Mundial de Dia sobre 160 g;1,99;(12,44 €/KILO)
Queso tierno El Cencerro de Dia 1 Kg;8,64;(8,64 €/KILO)
Queso maasdam Selección Mundial de Dia sobre 160 g;1,49;(9,31 €/KILO)
Queso havarti light Selección Mundial de Dia sobre 160 g;1,99;(12,44 €/KILO)
Queso gouda rallado Dia Láctea bolsa 200 g;1,61;(8,05 €/KILO)
Queso tierno mezcla El Cencerro de Dia 250 g;2,49;(9,96 €/KILO)
Queso curado cortado El Cencerro de Dia 250 g;3,73;(14,92 €/KILO)
Queso semicurado cortado El Cencerro de Dia 250 g;3,43;(13,72 €/KILO)
Queso emmental rallado Dia Láctea bolsa 200 g;1,73;(8,65 €/KILO)
Queso grana padano rallado Selección Mundial de Dia bolsa 100 g;1,79;(17,90 €/KILO)
Queso curado de oveja El Cencerro de Dia 200 g;3,25;(16,25 €/KILO)
Queso gouda sin lactosa Selección Mundial de Dia sobre 160 g;1,69;(10,56 €/KILO)
Queso sin lactosa rallado Dia Láctea bolsa 150 g;1,69;(11,27 €/KILO)
Queso mezcla madurado tradición El Cencerro de Dia 200 g;2,99;(14,95 €/KILO)
Rulo de queso de vaca Dia Lactea 140 g;1,49;(10,64 €/KILO)
Queso parmigiano reggiano D.O.P. en escamas Selección Mundial de Dia tarrina 80 g;1,99;(24,88 €/KILO)
Queso semicurado ya cortado García Baquero 225 g;3,99;(17,73 €/KILO)
Queso tierno cortado El Cencerro de Dia 250 g;3,09;(12,36 €/KILO)
Queso tierno de cabra El Cencerro de Dia bandeja 550 g;8,11;(14,75 €/KILO)
Queso Idiazábal ahumado D.O.P. Belai 150 g;3,85;(25,67 €/KILO)
Queso gouda light Selección Mundial de Dia sobre 160 g;1,72;(10,75 €/KILO)
Queso rallado en polvo El caserío bolsa 80 g;1,46;(18,25 €/KILO)
Queso fresco natural Dia Láctea tarrina 4 x 62.5 g;1,08;(4,32 €/KILO)
Queso fresco natural Dia Láctea tarrina 250 g;0,99;(3,96 €/KILO)
Queso mozzarella fresca Selección Mundial de Dia bolsa 125 g;1,05;(8,40 €/KILO)
Queso fresco de vaca El Cencerro de Dia tarrina 250 g;1,66;(6,64 €/KILO)
Queso fresco de cabra El Cencerro de Dia tarrina 250 g;2,70;(10,80 €/KILO)
Queso fresco 0% m.g Dia Láctea tarrina 4 x 62.5 g;1,08;(4,32 €/KILO)
Queso feta D.O.P. Selección Mundial de Dia bolsa 150 g;2,45;(16,33 €/KILO)
Queso burrata Selección Mundial de Dia tarrina 150 g;2,59;(17,27 €/KILO)
Queso fresco artesano Vega e Hijos tarrina 250 g;2,89;(11,56 €/KILO)
Requesón El Cencerro de Dia tarrina 200 g;0,99;(4,95 €/KILO)
Queso fresco sin lactosa Dia Láctea tarrina 4 x 62.5 g;1,74;(6,96 €/KILO)
Mini queso mozzarella Dia Láctea tarrina 125 g;1,75;(14,00 €/KILO)
Queso protein cottage Arla foods tarrina 200 g;2,49;(12,45 €/KILO)
Queso fresco natural Burgo de Arias tarrina 3 x 72 g;3,19;(14,77 €/KILO)
Queso fresco batido rico en proteínas Granja Rinya tarrina 400 g;1,99;(4,98 €/KILO)
Queso mozzarella di bufala campana D.O.P. Selección Mundial de Dia tarrina 125 g;1,99;(15,92 €/KILO)
Ricotta Selección Mundial de Dia tarrina 250 g;1,89;(7,56 €/KILO)
Queso fresco protein plus Burgo de Arias tarrina 3 x 70 g;1,99;(9,48 €/KILO)
Queso fresco bajo en sal Dia Láctea tarrina 4 x 62.5 g;1,45;(5,80 €/KILO)
Queso fresco 0% m.g Burgo de Arias tarrina 3 x 72 g;3,19;(14,77 €/KILO)
Queso mascarpone Selección Mundial de Dia tarrina 250 g;2,65;(10,60 €/KILO)
Queso roquefort Selección Mundial de Dia bandeja 100 g;1,99;(19,90 €/KILO)
Queso azul Dia Láctea bandeja 150 g;1,95;(13,00 €/KILO)
Queso gorgonzola D.O.P. Selección Mundial de Dia bandeja 150 g;1,99;(13,27 €/KILO)
Queso picón azul Bejes-Tresviso Quesería del Mundo 150 g;2,49;(16,60 €/KILO)
Queso brie azul Petit blue 150 g;2,25;(15,00 €/KILO)
Queso fundido sándwich Dia Láctea bolsa 300 g;1,65;(5,50 €/KILO)
Queso de untar natural Dia Láctea tarrina 250 g;1,12;(4,48 €/KILO)
Queso fundido burger con cheddar Dia Láctea bolsa 300 g;1,85;(6,17 €/KILO)
Queso fundido en porciones Dia Láctea caja 375 g;2,19;(5,84 €/KILO)
Crema con queso de cabra Dia Láctea tarrina 125 g;1,45;(11,60 €/KILO)
Crema de queso camembert President tarrina 125 g;1,89;(15,12 €/KILO)
Queso de untar original Philadelphia tarrina 350 g;3,69;(10,54 €/KILO)
Queso fundido light en porciones Dia Láctea caja 250 g;1,68;(6,72 €/KILO)
Queso fundido light Dia Láctea bolsa 300 g;1,99;(6,63 €/KILO)
Crema con queso semicurado Dia Láctea tarrina 125 g;1,45;(11,60 €/KILO)
Queso de untar original Philadelphia tarrina 250 g;2,78;(11,12 €/KILO)
Queso de untar light Philadelphia tarrina 250 g;2,78;(11,12 €/KILO)
Queso de untar light Philadelphia tarrina 350 g;3,69;(10,54 €/KILO)
Queso de untar natural light Dia Láctea tarrina 250 g;1,12;(4,48 €/KILO)
Queso fundido original en porciones La Vaca que ríe caja 250 g;2,79;(11,16 €/KILO)
Queso fundido El caserío bolsa 262 g;2,65;(10,11 €/KILO)
Mini queso tierno snack Babybel malla 120 g;2,99;(24,92 €/KILO)
Preparado de queso quark con frambuesa alto en proteínas Dia Láctea tarrina 200 g;1,29;(6,45 €/KILO)
Queso de untar blanco con piña Castello tarrina 125 g;1,99;(15,92 €/KILO)
Queso de untar con finas hierbas Philadelphia tarrina 150 g;2,49;(16,60 €/KILO)
Queso fundido con palitos de pan La Vaca que ríe caja 140 g;2,59;(18,50 €/KILO)
Queso fundido light en porciones La Vaca que ríe caja 250 g;2,79;(11,16 €/KILO)
Queso fundido light La Vaca que ríe bolsa 263 g;2,75;(10,46 €/KILO)
Preparado de queso quark con fresa alto en proteínas Dia Láctea tarrina 200 g;1,29;(6,45 €/KILO)
Queso fundido light en porciones El caserío caja 250 g;2,50;(10,00 €/KILO)
Mousse de queso con nueces President Bon délice tarrina 125 g;2,07;(16,56 €/KILO)
Preparado de queso quark con melocotón y maracuyá alto en proteínas Dia Láctea tarrina 200 g;1,29;(6,45 €/KILO)
Crema con queso camembert Dia Láctea tarrina 125 g;1,45;(11,60 €/KILO)
Queso gouda Selección Mundial de Dia sobre 240 g;1,89;(7,88 €/KILO)
Queso Munster Quesería del Mundo 125 g;2,49;(19,92 €/KILO)
Queso gouda cominos Quesería del Mundo 175 g;2,49;(14,23 €/KILO)
Queso Wensleydale con arándanos Quesería del Mundo 150 g;2,99;(19,93 €/KILO)
Queso mascarpone gorgonzola Quesería del Mundo 180 g;2,99;(16,61 €/KILO)
Queso cheddar Selección Mundial de Dia sobre 160 g;1,89;(11,81 €/KILO)
Queso brie Selección Mundial de Dia 200 g;1,75;(8,75 €/KILO)
Queso provolone con orégano Selección Mundial de Dia bolsa 150 g;1,88;(12,53 €/KILO)
Queso grana padano rallado Selección Mundial de Dia bolsa 100 g;1,79;(17,90 €/KILO)
Queso edam Selección Mundial de Dia sobre 240 g;1,88;(7,83 €/KILO)
Queso curado italiano Selección Mundial de Dia bandeja 200 g;2,91;(14,55 €/KILO)
Queso burrata Selección Mundial de Dia tarrina 150 g;2,59;(17,27 €/KILO)
Queso emmental Selección Mundial de Dia bolsa 220 g;2,09;(9,50 €/KILO)
Queso ahumado Talkäse Selección Mundial de Dia sobre 120 g;1,97;(16,42 €/KILO)
Queso havarti Selección Mundial de Dia sobre 160 g;1,99;(12,44 €/KILO)
Queso parmigiano reggiano D.O.P. Selección Mundial de Dia bandeja 150 g;3,99;(26,60 €/KILO)
Queso camembert Selección Mundial de Dia tarrina 250 g;2,19;(8,76 €/KILO)
Queso feta D.O.P. Selección Mundial de Dia bolsa 150 g;2,45;(16,33 €/KILO)
Queso mozzarella fresca Selección Mundial de Dia bolsa 125 g;1,05;(8,40 €/KILO)
Queso gouda Selección Mundial de Dia bandeja 400 g;3,35;(8,38 €/KILO)
Queso havarti light Selección Mundial de Dia sobre 160 g;1,99;(12,44 €/KILO)
Mini fondue recette Savoyarde Le rustique tarrina 150 g;1,99;(13,27 €/KILO)
Queso parmigiano reggiano D.O.P. en escamas Selección Mundial de Dia tarrina 80 g;1,99;(24,88 €/KILO)
Queso cheddar extra mature Selección Mundial de Dia bolsa 200 g;2,35;(11,75 €/KILO)
Queso gouda viejo Selección Mundial de Dia bolsa 200 g;2,79;(13,95 €/KILO)
Ricotta Selección Mundial de Dia tarrina 250 g;1,89;(7,56 €/KILO)
Queso mozzarella di bufala campana D.O.P. Selección Mundial de Dia tarrina 125 g;1,99;(15,92 €/KILO)
Queso mascarpone Selección Mundial de Dia tarrina 250 g;2,65;(10,60 €/KILO)
Queso brie con trufa 180 g;3,49;(19,39 €/KILO)
Salchichas cocidas frankfurt Funky Frank de Dia bolsa 4 x 160 g;1,75;(2,73 €/KILO)
Salchichas frankfurt Elpozo bolsa 2 x 140 g;1,00;(3,57 €/KILO)
Salchichas cocidas frankfurt con queso Funky Frank de Dia bolsa 4 x 140 g;1,89;(3,38 €/KILO)
Salchichas cocidas frankfurt Campofrío bolsa 4 x 140 g;2,25;(4,02 €/KILO)
Salchichas frankfurt con queso Elpozo bolsa 2 x 140 g;1,00;(3,57 €/KILO)
Salchichas bockwurst Selección Mundial de Dia bolsa 270 g;2,99;(11,07 €/KILO)
Salchichas bratwurst Selección Mundial de Dia bolsa 270 g;2,99;(11,07 €/KILO)
Salchichas bockwurst Selección Mundial de Dia frasco 250 g;2,75;(11,00 €/KILO)
Salchichas frankfurt de pavo Campofrío bolsa 3 x 140 g;1,99;(4,74 €/KILO)
(8,33 €/KILO);Salchichas cocidas jumbo classic Oscar mayer bolsa 350 g;2,45 €
(7,00 €/KILO);Salchichas cocidas frankfurt pikante Schara bolsa 170 g;3,05 €
(17,94 €/KILO);Salchichas cocidas bockwurst Meica frasco 250 g;4,99 €
(19,96 €/KILO);Salchicha alemana cocktail Selección Mundial de Dia frasco 150 g;2,55 €
(17,00 €/KILO);Salchichas veganas Revolu green bolsa 170 g;2,79 €
Paté de atún Nuestra Alacena de Dia pack 2 x 75 g;1,65;(11,00 €/KILO)
Paté de hígado de cerdo suave Nuestra Alacena de Dia pack 2 x 75 g;1,15;(7,67 €/KILO)
Paté de campaña Nuestra Alacena de Dia frasco 125 g;1,09;(8,72 €/KILO)
Mousse de foie de pato Aoste blister 100 g;1,99;(19,90 €/KILO)
Paté de cerdo intenso Nuestra Alacena de Dia pack 3 x 75 g;1,75;(7,78 €/KILO)
Paté La piara Tapa Negra lata 3 x 75 g;3,99;(17,73 €/KILO)
Paté de mejillones en escabeche Nuestra Alacena de Dia frasco 110 g;1,49;(13,55 €/KILO)
Paté a las finas hierbas Nuestra Alacena de Dia frasco 125 g;1,09;(8,72 €/KILO)
Paté de hígado de cerdo Mina lata 3 x 80 g;2,19;(9,13 €/KILO)
Paté a la pimienta Nuestra Alacena de Dia frasco 125 g;1,09;(8,72 €/KILO)
Paté de salmón Nuestra Alacena de Dia frasco 110 g;1,49;(13,55 €/KILO)
Paté olivada Vegedia frasco 110 g;1,49;(13,55 €/KILO)
Paté de anchoa Nuestra Alacena de Dia frasco 110 g;1,49;(13,55 €/KILO)
Paté vegetal de tomate y albahaca Carlota Natural frasco 110 g;1,99;(18,09 €/KILO)
Paté de pato superior Martiko blister 75 g;1,99;(26,53 €/KILO)
Paté de cerdo ibérico Nuestra Alacena de Dia frasco 125 g;1,19;(9,52 €/KILO)
