nombre;precio;volumen
(6,15 €/KILO);Empanada de bacalao El molino de Dia bolsa 550 g;3,69 €
(6,71 €/KILO);Tortilla de patatas con cebolla Palacios bandeja 650 g;4,89 €
(7,52 €/KILO);Tortilla de patatas con espinacas Palacios bandeja 300 g;2,79 €
(9,30 €/KILO);Tortilla vegana Revolu green bolsa 200 g;1,39 €
Gazpacho Al Punto Dia brik 1 l;1,70;(1,70 €/LITRO)
Gazpacho Al Punto Dia brik 3 x 330 ml;2,20;(2,22 €/LITRO)
Salmorejo Al Punto Dia brik 1 l;2,30;(2,30 €/LITRO)
Gazpacho suave Al Punto Dia brik 1 l;1,89;(1,89 €/LITRO)
Hielo en cubitos bolsa 2 Kg;0,99;(0,50 €/KILO)
Helado bombón mini doble chocolate y caramelo salado Temptation de Dia estuche 216 g;2,69;(7,82 €/KILO)
Helado bombón chocolate blanco con palomitas 3 unidades Temptation de Dia estuche 195 g;2,39;(7,64 €/KILO)
Helado cono de nata y chocolate 4 unidades Temptation de Dia caja 272 g;1,89;(6,95 €/KILO)
Helado sabor dulce de leche Temptation de Dia tarrina 525 g;2,99;(5,70 €/KILO)
Helado sándwich de nata 6 unidades Temptation de Dia caja 300 g;1,99;(6,63 €/KILO)
Tarta laminada nata y chocolate Temptation de Dia caja 525 g;2,29;(4,36 €/KILO)
Helado cookie dough Temptation de Dia tarrina 350 g;2,85;(8,14 €/KILO)
Helado de chocolate con trozos Temptation de Dia tarrina 540 g;2,99;(5,54 €/KILO)
Nata montada congelada Somosierra tarrina 240 g;2,49;(10,38 €/KILO)
Helado cono de nata 4 unidades Temptation de Dia caja 272 g;1,89;(6,95 €/KILO)
Helado sabor stracciatella Temptation de Dia tarrina 525 g;2,99;(5,70 €/KILO)
Helado mini bombón clásico y almendrado sin azúcar 6 unidades Temptation de Dia estuche 216 g;2,89;(13,38 €/KILO)
(7,50 €/KILO);Helado sándwich cookie con vainilla 4 unidades Temptation de Dia caja 220 g;2,49 €
(11,32 €/KILO);Helado bombón almendrado Temptation de Dia caja 360 g;2,59 €
(7,19 €/KILO);Helado de vainilla con nueces de macadamia Temptation de Dia tarrina 350 g;2,85 €
(8,14 €/KILO);Helado cookie dough Ben & Jerry's tarrina 406 g;6,99 €
(17,22 €/KILO);Helado bombón mini surtido 8 unidades Temptation de Dia estuche 288 g;2,59 €
(8,99 €/KILO);Helado bloque sabor turrón Temptation de Dia caja 525 g;2,52 €
(4,80 €/KILO);Helado sabor vainilla Temptation de Dia tarrina 500 g;2,29 €
(4,58 €/KILO);Helado caramel biscuit Temptation de Dia tarrina 350 g;2,85 €
(8,14 €/KILO);Helado sándwich nata y chocolate 6 unidades Somosierra caja 300 g;3,29 €
(10,97 €/KILO);Tarta helada sabor whisky Temptation de Dia caja 525 g;2,69 €
(5,12 €/KILO);Helado de yogur y frutos del bosque Carte D'Or tarrina 480 g;4,99 €
(10,40 €/KILO);Helado dulce de leche Haagen Dazs tarrina 400 g;7,29 €
(18,23 €/KILO);Helado de nata waffle 4 unidades Nestlé Maxibon caja 360 g;5,99 €
(16,64 €/KILO);Helado bombón almendras 3 + 1 unidades Magnum caja 300 g;4,49 €
(14,97 €/KILO);Helado mini cups chocolate collection 4 unidades Haagen Dazs caja 326 g;5,99 €
(18,37 €/KILO);Helado mini bombón mix Magnum caja 6 + 2 uds 356 g;4,99 €
(14,02 €/KILO);Sorbete helado de limón Temptation de Dia tarrina 540 g;2,49 €
(4,61 €/KILO);Helado vainilla macadamia Haagen Dazs tarrina 400 g;7,29 €
(18,23 €/KILO);Helado fruit collection mini cups 4 unidades Haagen Dazs caja 321 g;7,49 €
(23,33 €/KILO);Helado sándwich filipinos XXL 4 unidades Frigo caja 308 g;5,69 €
(18,47 €/KILO);Helado caramelo salado Haagen Dazs tarrina 400 g;7,29 €
(18,23 €/KILO);Helado bombón after dinner classic 8 unidades Magnum caja 232 g;4,99 €
(21,51 €/KILO);Helado cono chocolate y vainilla 4 unidades Milka caja 270 g;5,49 €
(20,33 €/KILO);Helado mini bombón almendras 6 unidades Magnum caja 276 g;4,99 €
(18,08 €/KILO);Helado de nata con gotas de chocolate 4 unidades Nestlé Maxibon caja 384 g;5,99 €
(15,60 €/KILO);Helado bombón after dinner frac 8 unidades Magnum caja 232 g;4,99 €
Baguette jamón y queso 2 unidades Al Punto Dia caja 250 g;1,89;(7,56 €/KILO)
Pizza reina 2 unidades Al Punto Dia caja 700 g;3,39;(4,84 €/KILO)
Pizza 4 quesos Al Punto Dia caja 400 g;2,49;(6,23 €/KILO)
Pizza jamón y queso Al Punto Dia caja 350 g;2,49;(7,11 €/KILO)
Mini pizzas jamón y queso Al Punto Dia caja 270 g;2,49;(9,22 €/KILO)
Pizza crispy bacon Al Punto Dia caja 450 g;3,99;(8,87 €/KILO)
Pizza barbacoa Al Punto Dia caja 350 g;2,49;(7,11 €/KILO)
Pizza 6 quesos Al Punto Dia caja 470 g;3,99;(8,49 €/KILO)
Pizza super pepperoni Al Punto Dia caja 417 g;3,99;(9,57 €/KILO)
Pizza carbonara Al Punto Dia caja 465 g;3,99;(8,58 €/KILO)
Pizza bacon y atún Al Punto Dia caja 400 g;2,49;(6,23 €/KILO)
Pizza burger Al Punto Dia caja 445 g;3,99;(8,97 €/KILO)
Pizza boloñesa Al Punto Dia caja 375 g;2,49;(6,64 €/KILO)
Pizza campestre Al Punto Dia caja 400 g;2,49;(6,23 €/KILO)
Pizza mozzarella Dr. Oetker Ristorante caja 355 g;3,85;(10,85 €/KILO)
Pizza 4 quesos Dr. Oetker Ristorante caja 340 g;3,99;(11,74 €/KILO)
Mini pizzas piccolissima prosciutto Dr. Oetker Ristorante caja 288 g;4,25;(14,76 €/KILO)
Pizza speciale Dr. Oetker Ristorante caja 330 g;3,99;(12,09 €/KILO)
Pannini jamón y queso Dr. Oetker caja 250 g;3,25;(13,00 €/KILO)
Pizza atún Dr. Oetker Ristorante caja 355 g;3,99;(11,24 €/KILO)
Pizza spinaci Dr. Oetker Ristorante caja 390 g;3,99;(10,23 €/KILO)
Pizza rustica doble pepperoni Dr. Oetker Ristorante caja 565 g;5,49;(9,72 €/KILO)
Pannini barbacoa Dr. Oetker caja 250 g;3,25;(13,00 €/KILO)
Pannini 4 quesos Dr. Oetker caja 250 g;3,25;(13,00 €/KILO)
Pizza barbacoa Dr. Oetker Ristorante caja 340 g;3,85;(11,32 €/KILO)
Pizza prosciutto Dr. Oetker Ristorante caja 340 g;3,99;(11,74 €/KILO)
Pizza prosciutto sin gluten Dr. Oetker caja 345 g;4,59;(13,30 €/KILO)
Pizza rustica cuatro quesos Dr. Oetker caja 555 g;5,49;(9,89 €/KILO)
Filete de merluza argentino sin piel Mari Marinera de Dia bolsa 400 g;3,29;(6,17 €/KILO)
Lomos de salmón Selección Mundial de Dia bolsa 250 g;6,39;(19,17 €/KILO)
Filete de merluza empanada Mari Marinera de Dia bolsa 600 g;4,95;(8,25 €/KILO)
Almeja del pacífico Mari Marinera de Dia bolsa 450 g;1,69;(3,76 €/KILO)
Filetes de atún MSC Mari Marinera de Dia bandeja 250 g;3,99;(15,96 €/KILO)
Filetes de bacalao MSC Mari Marinera de Dia bandeja 360 g;4,99;(10,40 €/KILO)
Merluza rebozada al huevo MSC Mari Marinera de Dia caja 340 g;2,79;(8,21 €/KILO)
Filete de dorada Mari Marinera de Dia bolsa 180 g;3,99;(16,63 €/KILO)
Rabas empanadas Mari Marinera de Dia bolsa 400 g;3,19;(7,98 €/KILO)
Filete de merluza del cabo sin piel MSC Mari Marinera de Dia bolsa 600 g;5,29;(8,82 €/KILO)
Preparado para paellas y sopas Mari Marinera de Dia bolsa 685 g;3,99;(5,82 €/KILO)
Muslitos de mar MSC Mari Marinera de Dia caja 250 g;1,49;(5,96 €/KILO)
Varitas de merluza MSC Mari Marinera de Dia caja 450 g;3,99;(8,87 €/KILO)
Langostino crudo grande 32/48 piezas Mari Marinera de Dia caja 800 g;7,99;(9,99 €/KILO)
Caprichos del mar Mari Marinera de Dia bolsa 400 g;1,99;(4,98 €/KILO)
Corazones de merluza Pescanova caja 500 g;6,79;(10,98 €/KILO)
Calamar troceado Mari Marinera de Dia bolsa 450 g;3,99;(8,87 €/KILO)
Filete de bacalao 100% natural MSC Mari Marinera de Dia bolsa 300 g;4,99;(16,63 €/KILO)
Gambas peladas medianas 70/90 piezas Mari Marinera de Dia bolsa 350 g;4,81;(13,74 €/KILO)
Tiras de potón Mari Marinera de Dia bolsa 350 g;2,99;(8,54 €/KILO)
Filete de boquerón en tempura Cocinarte bolsa 400 g;3,75;(9,38 €/KILO)
Filete de lubina Mari Marinera de Dia bolsa 180 g;3,99;(22,17 €/KILO)
Filetes de merluza sin piel baby Pescanova bolsa 400 g;5,19;(12,98 €/KILO)
Sucedáneo de angula MSC Mari Marinera de Dia bandeja 250 g;1,99;(7,96 €/KILO)
Filete de panga ASC Exkimo bolsa 480 g;2,59;(5,40 €/KILO)
Gambas peladas grandes 35/55 piezas Mari Marinera de Dia bolsa 350 g;5,78;(16,51 €/KILO)
Rodajas de emperador Mari Marinera de Dia bolsa 475 g;5,99;(12,61 €/KILO)
Colas de gambón pelado crudo Mari Marinera de Dia bandeja 200 g;5,24;(26,20 €/KILO)
Gambón crudo Mari Marinera de Dia caja 800 g;9,99;(12,49 €/KILO)
Nuggets de merluza Pescanova bolsa 300 g;2,19;(7,30 €/KILO)
Porciones de merluza del cabo MSC Mari Marinera de Dia caja 400 g;3,69;(9,23 €/KILO)
Coquina del Mediterráneo Aligator bolsa 250 g;3,79;(15,16 €/KILO)
Anillas a la romana Mari Marinera de Dia bolsa 400 g;3,44;(8,60 €/KILO)
Carne de mejillón cocido Mari Marinera de Dia bolsa 250 g;2,14;(8,56 €/KILO)
Palitos de surimi ultracongelados MSC Mari Marinera de Dia bolsa 450 g;1,99;(4,42 €/KILO)
Preparado de paella con caldo Mari Marinera de Dia bandeja 500 g;3,49;(6,98 €/KILO)
Chipirón enharinado Mari Marinera de Dia bolsa 250 g;3,49;(13,96 €/KILO)
Colas de gamba rebozadas Cocinarte bolsa 200 g;2,59;(12,95 €/KILO)
Medallones de merluza del cabo MSC Mari Marinera de Dia bolsa 475 g;4,29;(9,03 €/KILO)
Filete de salmón salvaje MSC Mari Marinera de Dia bolsa 360 g;5,99;(16,64 €/KILO)
Nuggets de pollo Al Punto Dia bolsa 400 g;2,99;(7,48 €/KILO)
San jacobo Al Punto Dia bolsa 320 g;1,19;(3,72 €/KILO)
Fingers de pollo Al Punto Dia bolsa 400 g;3,19;(7,98 €/KILO)
Kebab loncheado de pollo Gourmet Kebab bolsa 250 g;3,49;(13,96 €/KILO)
Crunchy de pollo con salsa barbacoa Fripozo bolsa 300 g;2,49;(8,30 €/KILO)
Kebab fusión + proteínas Fripozo bolsa 320 g;2,99;(9,34 €/KILO)
Mini cachopo de vacuno Facefood bolsa 500 g;9,49;(18,98 €/KILO)
Finger de pollo La cocinera caja 320 g;4,99;(15,59 €/KILO)
Dippers de pollo al estilo americano La cocinera caja 220 g;2,99;(13,59 €/KILO)
Alitas de pollo estilo americano La cocinera caja 400 g;4,99;(12,48 €/KILO)
Mezcla de pimientos Vegecampo de Dia bolsa 400 g;1,16;(2,90 €/KILO)
Cebolla troceada Vegecampo de Dia bolsa 400 g;0,92;(2,30 €/KILO)
Arroz tres delicias Al Punto Dia bolsa 850 g;2,42;(2,85 €/KILO)
Salteado de verduras Al Punto Dia bolsa 450 g;1,01;(2,53 €/KILO)
Brócoli Vegecampo de Dia bolsa 900 g;1,87;(2,08 €/KILO)
Guisantes Vegecampo de Dia bolsa 1 Kg;1,61;(1,61 €/KILO)
Espinacas cortadas Vegecampo de Dia bolsa 450 g;0,99;(2,20 €/KILO)
Salteado de setas Vegecampo de Dia bolsa 400 g;1,43;(3,58 €/KILO)
Menestra de verduras Vegecampo de Dia bolsa 1 Kg;1,79;(1,79 €/KILO)
Ajo troceado Vegecampo de Dia bolsa 150 g;0,99;(6,60 €/KILO)
Pisto de verduras con tomate Al Punto Dia bolsa 450 g;1,99;(4,42 €/KILO)
Braseado de verduras con pollo asado Al Punto Dia bolsa 400 g;1,99;(4,98 €/KILO)
Parrillada de verduras asadas Al Punto Dia bolsa 400 g;1,74;(3,87 €/KILO)
Judías verdes planas Vegecampo de Dia bolsa 1 Kg;1,56;(1,56 €/KILO)
Salteado de gambas, ajetes y espárragos verdes Al Punto Dia bolsa 400 g;2,79;(6,98 €/KILO)
Relleno para fajitas con pollo, pimientos y cebolla Al Punto Dia bolsa 300 g;1,95;(6,50 €/KILO)
Arroz negro Al Punto Dia bolsa 330 g;1,99;(6,03 €/KILO)
Gnocchis con pollo y verduras Al Punto Dia bolsa 450 g;2,36;(5,24 €/KILO)
Brócoli, coliflor y zanahoria Vegecampo de Dia bolsa 1 Kg;2,08;(2,08 €/KILO)
Judías verdes redondas Vegecampo de Dia bolsa 1 Kg;1,56;(1,56 €/KILO)
Alcachofa troceada Vegecampo de Dia bolsa 400 g;2,65;(6,63 €/KILO)
Arroz de marisco con caldo de pescado Al Punto Dia bolsa 330 g;1,99;(6,03 €/KILO)
Coliflor Vegecampo de Dia bolsa 1 Kg;1,99;(1,99 €/KILO)
Guisantes superfinos Vegecampo de Dia bolsa 300 g;0,99;(3,30 €/KILO)
Ensaladilla  Vegecampo de Dia bolsa 1 Kg;1,29;(1,29 €/KILO)
Verduras en tempura Cocinarte bolsa 400 g;2,69;(6,73 €/KILO)
Quinoa con verduras  Al Punto Dia bolsa 400 g;1,99;(4,98 €/KILO)
Pimientos rellenos de bacalao MSC Al Punto Dia bolsa 240 g;2,45;(10,21 €/KILO)
Habas baby Vegecampo de Dia bolsa 400 g;1,55;(3,88 €/KILO)
Verduras para sofrito Findus bolsa 250 g;2,69;(10,76 €/KILO)
Arroz de coliflor Al Punto Dia bolsa 450 g;1,69;(3,76 €/KILO)
Guisantes finos Findus bolsa 800 g;3,99;(4,99 €/KILO)
Ensaladilla Findus bolsa 800 g;3,99;(4,99 €/KILO)
Judías verdes planas Findus bolsa 800 g;3,99;(4,99 €/KILO)
Verduras para paella Vegecampo de Dia bolsa 450 g;1,21;(2,69 €/KILO)
Corazones de alcachofa baby Alessia bolsa 450 g;4,53;(10,07 €/KILO)
Menestra de la huerta Findus bolsa 650 g;4,99;(7,68 €/KILO)
Espinacas cortadas Findus bolsa 400 g;2,69;(6,73 €/KILO)
Coles de bruselas Findus bolsa 400 g;3,05;(7,63 €/KILO)
Guisantes superfinos Findus bolsa 550 g;3,99;(7,25 €/KILO)
Patatas prefritas Patatas Unidas Dia bolsa 2 Kg;3,21;(1,61 €/KILO)
Patatas prefritas Patatas Unidas Dia bolsa 1 Kg;1,85;(1,85 €/KILO)
Patatas finas prefritas Patatas Unidas Dia bolsa 1 Kg;1,93;(1,93 €/KILO)
Patatas gajo Patatas Unidas Dia bolsa 750 g;1,80;(2,40 €/KILO)
Patatas fritas tradition McCain bolsa 1 Kg;3,99;(3,99 €/KILO)
Patatas bravas prefritas Patatas Unidas Dia bolsa 750 g;1,99;(2,65 €/KILO)
Patatas fritas corte fino Julienne McCain Airfryer bolsa 600 g;3,59;(5,98 €/KILO)
Patatas fritas con piel McCain Chef Gourmet bolsa 500 g;3,49;(6,98 €/KILO)
Patatas fritas golden long McCain bolsa 1 Kg;3,85;(3,85 €/KILO)
Mini empanadillas de atún Al Punto Dia bolsa 400 g;1,57;(3,93 €/KILO)
Croquetas de jamón Al Punto Dia bolsa 400 g;1,59;(3,98 €/KILO)
Gyozas de pollo Vici bolsa 400 g;3,99;(9,98 €/KILO)
Empanadillas de atún MSC La cocinera caja 312 g;4,99;(15,99 €/KILO)
Palitos de mozzarella Al Punto Dia bolsa 300 g;2,59;(8,63 €/KILO)
Croquetas de pollo con leche fresca Al Punto Dia bolsa 400 g;1,69;(4,23 €/KILO)
Croquetas de cocido horneables Al Punto Dia bolsa 350 g;2,29;(6,54 €/KILO)
Croquetas cremosas de jamón ibérico Al Punto Dia bolsa 350 g;2,49;(7,11 €/KILO)
Tequeños de queso Amaizin caja 190 g;2,99;(15,74 €/KILO)
Thai noodles + proteínas Fripozo bolsa 320 g;2,99;(9,34 €/KILO)
Rollitos de primavera Al Punto Dia caja 450 g;2,99;(6,64 €/KILO)
Aritos de queso gouda rebozados Preli bolsa 350 g;3,99;(11,40 €/KILO)
Milanesa de pollo rellena Instafood bolsa 600 g;7,99;(13,32 €/KILO)
Croquetas artesanas de jamón ibérico La cocinera bolsa 400 g;4,99;(9,98 €/KILO)
Croquetas cremosas de boletus edulis Al Punto Dia bolsa 300 g;2,99;(9,97 €/KILO)
(9,97 €/KILO);(9,97/KILO);(9,97 €/KILO)
Churros lazo Al Punto Dia bolsa 500 g;1,40;(2,80 €/KILO)
Porras fritas Al Punto Dia bolsa 250 g;1,98;(7,92 €/KILO)
Frutos rojos Congelados de Navarra bolsa 300 g;1,68;(5,60 €/KILO)
Fresas congeladas La cuerva bolsa 300 g;1,78;(5,93 €/KILO)
Brazo de chocolate Sietem bandeja 500 g;6,99;(13,98 €/KILO)
Tarta bombón infantil niño San Martín bandeja 500 g;6,25;(12,50 €/KILO)
Tarta red velvet San Martín bandeja 625 g;10,59;(16,94 €/KILO)
Tarta de zanahoria San Martín bandeja 770 g;10,59;(13,75 €/KILO)
Tarta bombón San Martín bandeja 1 Kg;10,95;(10,95 €/KILO)
Tarta de queso con frambuesas Philadelphia caja 390 g;7,35;(18,85 €/KILO)
Lasaña boloñesa Al Punto Dia caja 300 g;1,73;(5,77 €/KILO)
Canelón de carne Al Punto Dia bolsa 300 g;1,73;(5,77 €/KILO)
Canelón de atún Al Punto Dia caja 300 g;1,73;(5,77 €/KILO)
Lasaña de verdura Al Punto Dia bolsa 300 g;1,73;(5,77 €/KILO)
Lasaña boloñesa La cocinera caja 500 g;3,99;(7,98 €/KILO)
Linguine con langostinos y salsa teriyaki Nos bandeja 300 g;2,99;(9,97 €/KILO)
Canelones de marisco Al Punto Dia caja 300 g;2,49;(8,30 €/KILO)
Agua mineral natural Dia botella 1.5 l;0,25;(0,17 €/LITRO)
Agua mineral natural Dia garrafa 5 l;0,67;(0,13 €/LITRO)
Agua mineral natural Bezoya botella 6 x 1.5 l;4,44;(0,49 €/LITRO)
Agua mineral natural Aquabona pack 6 x 1.5 l;3,90;(0,37 €/LITRO)
Agua mineral con gas Dia botella 1.5 l;0,43;(0,29 €/LITRO)
Agua mineral natural Dia botella 50 cl;0,24;(0,48 €/LITRO)
Agua mineral natural Aquarel pack 6 x 1.5 l;3,72;(0,41 €/LITRO)
Agua mineral natural Font Vella pack 6 x 1.5 l;4,50;(0,50 €/LITRO)
Agua mineral natural Font Vella garrafa 6.25 l;2,29;(0,37 €/LITRO)
Agua mineral natural Aquarel pack 6 x 33 cl;3,12;(1,58 €/LITRO)
Agua mineral natural Solán de Cabras botella 1.5 l;0,92;(0,61 €/LITRO)
(0,58 €/LITRO);Agua mineral natural Dia botella 33 cl;0,26 €
(0,79 €/LITRO);Agua mineral natural Solán de Cabras botella 6 x 1.5 l;5,52 €
(0,61 €/LITRO);(0,49/LITRO);Agua mineral natural Fuente primavera pack 6 x 1 l
2,94 €;(0,49/LITRO);Agua mineral natural Solán de Cabras garrafa 5 l
2,69 €;(0,54/LITRO);Agua mineral con gas Vichy botella 1 l
1,49 €;(1,49/LITRO);Agua mineral natural Solán de Cabras botella 50 cl
0,77 €;(1,54/LITRO);(0,97 €/LITRO)
Agua mineral natural Fuente primavera botella 1 l;0,49;(0,49 €/LITRO)
Agua mineral natural Font Vella botella 50 cl;0,66;(1,10 €/LITRO)
Agua mineral natural Aquarel pack 2 x 5 l;3,58;(0,36 €/LITRO)
Agua mineral natural Font Vella botella 1 l;0,79;(0,79 €/LITRO)
Agua mineral natural Bezoya botella 1.5 l;0,74;(0,49 €/LITRO)
Agua mineral natural Aquabona botella 1.5 l;0,65;(0,37 €/LITRO)
Agua mineral natural Lanjarón botella 1.5 l;0,73;(0,49 €/LITRO)
Agua mineral natural tapón sport Font Vella botella 33 cl;0,50;(1,52 €/LITRO)
Agua mineral natural Font Vella pack 6 x 2 l;6,54;(0,55 €/LITRO)
Agua mineral con gas San Pellegrino botella 1 l;1,39;(1,39 €/LITRO)
Agua mineral natural Monte pinos botella 1.5 l;0,64;(0,43 €/LITRO)
Agua mineral con gas San Pellegrino pack 6 x 1 l;8,34;(1,39 €/LITRO)
Agua mineral natural Font Vella botella 1.5 l;0,75;(0,50 €/LITRO)
Agua con gas San Pellegrino botella 50 cl;1,05;(2,10 €/LITRO)
Agua mineral con gas Fonter pack 6 x 1 l;6,84;(1,14 €/LITRO)
Agua mineral natural Font Vella botella 2 l;1,09;(0,55 €/LITRO)
Agua mineral natural Cabreiroá pack 6 x 1.5 l;4,32;(0,48 €/LITRO)
Agua mineral natural Cabreiroá botella 1.5 l;0,72;(0,48 €/LITRO)
Agua mineral natural Aquarel botella 50 cl;0,59;(1,18 €/LITRO)
Agua mineral con gas Fonter botella 1 l;1,14;(1,14 €/LITRO)
Refresco de cola sabor original Coca-Cola botella 2 x 2 l;4,00;(0,93 €/LITRO)
Refresco de cola zero Hola Cola de Dia botella 4 x 2 l;3,00;(0,38 €/LITRO)
Refresco de cola zero azúcar Coca-Cola botella 2 x 2 l;4,00;(0,93 €/LITRO)
Refresco de cola zero Hola Cola de Dia lata 12 x 33 cl;3,96;(1,00 €/LITRO)
Refresco de cola sabor original Coca-Cola lata 12 x 33 cl;10,80;(2,73 €/LITRO)
Refresco de cola zero azúcar Coca-Cola lata 12 x 33 cl;10,80;(2,73 €/LITRO)
Refresco de cola sabor original Coca-Cola lata 33 cl;0,92;(2,79 €/LITRO)
Refresco de cola Hola Cola de Dia botella 4 x 2 l;3,00;(0,38 €/LITRO)
Refresco de cola zero azúcar Coca-Cola lata 33 cl;0,92;(2,79 €/LITRO)
Refresco de cola Hola Cola de Dia lata 12 x 33 cl;3,96;(1,00 €/LITRO)
Refresco de cola zero sin cafeína Hola Cola de Dia lata 6 x 33 cl;1,98;(1,00 €/LITRO)
Refresco de cola zero azúcar zero cafeína Coca-Cola botella 2 x 2 l;4,00;(0,93 €/LITRO)
Refresco de cola zero azúcar zero cafeína Coca-Cola lata 33 cl;0,92;(2,79 €/LITRO)
Refresco de cola zero sin cafeína Hola Cola de Dia botella 4 x 2 l;3,00;(0,38 €/LITRO)
Refresco de cola zero Hola Cola de Dia botella 2 l;0,75;(0,38 €/LITRO)
Refresco de cola sabor original Coca-Cola botella 1.25 l;1,49;(1,19 €/LITRO)
Refresco de cola zero azúcar Coca-Cola botella 2 x 1.25 l;2,90;(1,16 €/LITRO)
Refresco de cola Hola Cola de Dia botella 2 l;0,75;(0,38 €/LITRO)
Refresco de cola zero azúcar zero cafeína Coca-Cola lata 12 x 33 cl;10,80;(2,73 €/LITRO)
Refresco de cola zero Hola Cola de Dia lata 33 cl;0,33;(1,00 €/LITRO)
Refresco de cola Hola Cola de Dia lata 33 cl;0,33;(1,00 €/LITRO)
Refresco de cola zero azúcar zero cafeína Coca-Cola botella 1.25 l;1,49;(1,19 €/LITRO)
Refresco de cola sabor original Coca-Cola botella 2 l;2,10;(1,05 €/LITRO)
Refresco de cola sabor original Coca-Cola lata 6 x 20 cl;3,99;(3,33 €/LITRO)
Refresco de cola zero sin cafeína Hola Cola de Dia botella 2 l;0,75;(0,38 €/LITRO)
Refresco de cola zero sin cafeína Hola Cola de Dia lata 33 cl;0,33;(1,00 €/LITRO)
Refresco de cola sin cafeína Coca-Cola botella 2 l;2,10;(1,05 €/LITRO)
Refresco de cola zero azúcar Pepsi pack 6 x 1.75 l;10,14;(0,86 €/LITRO)
Refresco de cola zero azúcar Coca-Cola botella 1.25 l;1,49;(1,19 €/LITRO)
Refresco de cola zero azúcar Pepsi botella 2 x 1.75 l;3,30;(0,94 €/LITRO)
Refresco de cola light Coca-Cola lata 33 cl;0,92;(2,79 €/LITRO)
Refresco de cola zero azúcar Coca-Cola lata 6 x 20 cl;3,99;(3,33 €/LITRO)
Refresco de cola clásica Pepsi botella 1.75 l;1,69;(0,86 €/LITRO)
Refresco de cola clásica Pepsi botella 2 x 1.75 l;3,30;(0,94 €/LITRO)
Refresco de cola clásica Pepsi lata 33 cl;0,79;(2,39 €/LITRO)
Refresco de cola zero azúcar Coca-Cola botella 50 cl;1,49;(2,98 €/LITRO)
Refresco de cola zero azúcar Pepsi botella 1.75 l;1,69;(0,86 €/LITRO)
Refresco de cola sin cafeína Coca-Cola lata 33 cl;0,92;(2,27 €/LITRO)
Refresco de cola zero azúcar Coca-Cola botella 2 l;2,10;(1,05 €/LITRO)
Refresco de cola clásica Pepsi pack 6 x 1.75 l;10,14;(0,86 €/LITRO)
Refresco de naranja Fanta lata 9 x 33 cl;6,93;(2,06 €/LITRO)
Refresco de naranja Fanta botella 2 x 2 l;3,60;(0,90 €/LITRO)
Refresco de naranja Upss Dia botella 1.5 l;0,79;(0,53 €/LITRO)
Refresco de naranja zero azúcares Fanta botella 2 l;1,85;(0,83 €/LITRO)
Refresco de naranja zero azúcares Fanta lata 33 cl;0,80;(2,42 €/LITRO)
Refresco de naranja 8% zumo con gas zero Upss Dia botella 1.5 l;0,77;(0,51 €/LITRO)
Refresco de naranja zero Upss Dia lata 33 cl;0,37;(1,12 €/LITRO)
Refresco de naranja Upss Dia lata 33 cl;0,37;(1,12 €/LITRO)
Refresco de naranja sin gas Upss Dia botella 1.5 l;1,05;(0,70 €/LITRO)
Bebida de zumo de naranja Simon Life botella 1.5 l;1,85;(1,23 €/LITRO)
Refresco de naranja Fanta lata 33 cl;0,80;(2,27 €/LITRO)
Refresco de naranja Fanta botella 2 l;1,85;(0,93 €/LITRO)
Zumo naranja exprimido sin pulpa Zumosfera de Dia botella 1 l;2,00;(2,00 €/LITRO)
Refresco en polvo sabor naranja Tang bolsa 30 g;0,83;(27,67 €/KILO)
Refresco de naranja sin gas Upss Dia lata 33 cl;0,49;(1,48 €/LITRO)
Refresco de naranja zero azúcares Kas botella 2 l;1,79;(0,90 €/LITRO)
Zumo de naranja con pulpa Don Simón botella 1 l;3,25;(3,25 €/LITRO)
Refresco de naranja Fanta botella 50 cl;1,49;(2,98 €/LITRO)
Refresco de naranja zero azúcares Kas lata 33 cl;0,70;(2,12 €/LITRO)
Refresco naranja zero Schweppes lata 33 cl;0,97;(2,94 €/LITRO)
Refresco de limón Fanta botella 2 l;1,85;(0,93 €/LITRO)
Refresco de limón zero azúcares Fanta botella 2 l;1,85;(0,83 €/LITRO)
Refresco de limón 6% zumo con gas Upss Dia botella 1.5 l;0,79;(0,53 €/LITRO)
Refresco de limón 6% zumo con gas zero Upss Dia botella 1.5 l;0,77;(0,51 €/LITRO)
Refresco de lima limón zero Upss Dia botella 1.5 l;0,75;(0,50 €/LITRO)
Refresco de limón zero Upss Dia lata 33 cl;0,37;(1,12 €/LITRO)
Refresco de lima-limón Sprite botella 2 l;1,65;(0,83 €/LITRO)
Refresco de limón zero azúcares Fanta lata 33 cl;0,80;(2,42 €/LITRO)
Refresco de limón sin gas Upss Dia botella 1.5 l;1,05;(0,70 €/LITRO)
Refresco de limón Fanta lata 33 cl;0,80;(2,27 €/LITRO)
Refresco de lima-limón Sprite pack 24 x 33 cl;15,60;(1,67 €/LITRO)
Refresco de lima-limón Sprite lata 33 cl;0,65;(1,67 €/LITRO)
Refresco de limón zero Schweppes lata 33 cl;0,97;(2,94 €/LITRO)
Refresco de limón Schweppes lata 33 cl;0,97;(2,94 €/LITRO)
Refresco en polvo sabor limón Tang bolsa 30 g;0,83;(27,67 €/KILO)
Refresco de lima-limón zero azúcares Seven up lata 33 cl;0,59;(1,79 €/LITRO)
